"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042330","GO:0042330","taxis","92/2590","443/18842",0.207674943566591,1.51081516860298,4.34327160350145,2.60051879508924e-05,0.000882722684171596,0.000882722684171596,"CALCA/DUSP1/ROBO2/SEMA3A/JAM3/CXCL9/SEMA3D/CCN1/PLAU/CCL20/APOA1/EGR3/ADAM8/CXCL13/HBEGF/PROK2/NR4A1/S100A4/DPP4/PPM1F/CTSG/CXCL12/GDNF/CDH13/PTGDR2/RARRES2/CCR3/ARHGEF16/EDNRB/GREM1/CCL14/BST1/CX3CL1/CMTM5/IL34/SLIT2/CCR8/SCRIB/PTN/ENPP2/HOXB9/EDN3/PIK3C2G/EDN1/COLEC10/S100A7/MET/TRPM2/SEMA7A/CCL19/CCL23/SEMA6A/SEMA6D/CXCR2/CCL24/PF4/AGR2/DPEP1/NOVA2/ECSCR/CXCL2/SLIT3/NEDD9/TUBB2B/SEMA3G/FGF2/CCL1/NRG1/ANGPT1/EPHB1/SEMA5A/EDN2/RAC3/IL23A/ACKR4/CX3CR1/F7/IL6/P2RY12/S1PR1/CXCL3/VEGFD/CCL25/S100A12/CCL16/FGF8/CCL7/NTRK3/PPBP/SAA1/CCL2/MDK",92
"GO:0065004","GO:0065004","protein-DNA complex assembly","51/2590","210/18842",0.242857142857143,1.76676227247656,4.46055702053912,2.71391175266696e-05,0.00091552640298302,0.00091552640298302,"H1-2/H3C11/H4C6/H3C3/TAF7L/H4C1/H1-1/RAD51/H2BC7/H3C8/H3C14/CDT1/H4C2/H3C6/H4C16/H3C1/H4C8/H4C3/H2BC14/H1-6/H2BC10/H2BC13/H1-5/H2BC4/CHAF1B/H3C7/H2BC6/H3C10/CDC45/H2BC9/H4C14/H2BC8/H4C12/H2BC3/ASF1B/H4C11/H4C4/H3C13/H1-3/H4C9/H4C5/H3C2/NAP1L2/H2BC21/H2BC11/H2AX/H1-4/ATAD2/H3C12/H2BC15/H4C15",51
"GO:0001894","GO:0001894","tissue homeostasis","48/2590","194/18842",0.247422680412371,1.79997611750189,4.47105699877961,2.76954690195457e-05,0.000922900842633032,0.000922900842633032,"COMP/SPP1/LSR/CALCA/COL3A1/TLR4/JAM3/TFF3/CARTPT/ADAM8/DLK1/SCX/MUC2/RBP4/USH1G/CDH23/BARD1/FREM3/SCRIB/CLDN5/PDK4/SLC2A1/RUFY4/ALDH1A1/CLDN3/CDH5/SH3GL2/KISS1/TFF1/MUC13/ZEB2/FREM2/ANGPT1/PKP3/KISS1R/ALPL/CRACD/ATP1B2/IL6/S1PR1/INAVA/VSIG1/JAM2/PECAM1/SLC1A1/ESAM/RP1/CD34",48
"GO:0060249","GO:0060249","anatomical structure homeostasis","48/2590","194/18842",0.247422680412371,1.79997611750189,4.47105699877961,2.76954690195457e-05,0.000922900842633032,0.000922900842633032,"COMP/SPP1/LSR/CALCA/COL3A1/TLR4/JAM3/TFF3/CARTPT/ADAM8/DLK1/SCX/MUC2/RBP4/USH1G/CDH23/BARD1/FREM3/SCRIB/CLDN5/PDK4/SLC2A1/RUFY4/ALDH1A1/CLDN3/CDH5/SH3GL2/KISS1/TFF1/MUC13/ZEB2/FREM2/ANGPT1/PKP3/KISS1R/ALPL/CRACD/ATP1B2/IL6/S1PR1/INAVA/VSIG1/JAM2/PECAM1/SLC1A1/ESAM/RP1/CD34",48
"GO:0009410","GO:0009410","response to xenobiotic stimulus","79/2590","368/18842",0.214673913043478,1.56173199597113,4.3443124359836,2.88452890513623e-05,0.00095539093736785,0.00095539093736785,"GRIN1/CYP2A13/NKX6-1/PDX1/SLC19A1/GPR52/CCNB1/CYP2A6/RAD51/AOX1/CYP1A2/CYP2B6/PPM1F/RBP4/UGT1A10/CDH13/SLCO1B1/GATA4/AMH/UGT1A7/SST/ABCA3/CYP3A4/ABCB11/PTPRM/FMO2/NOS1/CYP2F1/EDN1/CSAG2/CSAG3/AVP/CYP1A1/SULT1C3/CYP2W1/HCN2/CA9/SPINK4/AKR1C1/SLC6A11/FOS/CERS1/PDE2A/UGT1A6/SLC34A1/AIM2/TFRC/COL1A1/GAL/C1orf115/ABCB1/SULT1C4/FOSB/AADAC/ADCYAP1R1/TGFBR2/SLCO1A2/BCHE/CYP2C18/GSTA3/KCNH2/ADRA1A/ALDH2/ACSM2B/OTC/ANKRD1/SLC6A4/SLC28A3/CRHBP/SCGB1A1/ALDH3A1/CYP26B1/S100A12/CAT/CENPF/FGF8/LPO/ABCG8/MDK",79
"GO:0086009","GO:0086009","membrane repolarization","20/2590","56/18842",0.357142857142857,2.59817981246553,4.78135450678172,2.93213748867619e-05,0.000965309119012973,0.000965309119012973,"ATP1A2/KCNJ8/CAV3/CAV1/CASQ2/KCNK16/SCN5A/NOS1/SLC24A4/SCN2B/CACNB3/KCNIP1/KCNA5/KCNE4/KCNE1/KCNH2/ATP1B2/SCN4B/KCNH6/KCNA1",20
"GO:0031960","GO:0031960","response to corticosteroid","38/2590","142/18842",0.267605633802817,1.94680515525586,4.52097840806115,2.95718915722045e-05,0.000967726870910765,0.000967726870910765,"ZFP36/PDX1/DUSP1/GPER1/CARTPT/AANAT/CALCR/UGT1A10/CBX3/AQP1/UGT1A7/ABCA3/SLIT2/NEFL/EPO/EDN1/HCN2/TDO2/FOS/GHR/UGT1A6/CDO1/SLIT3/FAM107A/FOSB/BCHE/ALPL/PCNA/IL6/AKR1C3/SCGB1A1/S100B/UCN/PCK1/KLF9/SSTR5/NTRK3/MDK",38
"GO:0051984","GO:0051984","positive regulation of chromosome segregation","13/2590","28/18842",0.464285714285714,3.37763375620518,5.02610843294381,3.00525522285523e-05,0.000971817739225079,0.000971817739225079,"NCAPG2/CCNB1/CDC6/INCENP/AURKB/CDK1/SKA1/BIRC5/NCAPH/CDCA8/NCAPG/SKA3/KAT2B",13
"GO:0060402","GO:0060402","calcium ion transport into cytosol","13/2590","28/18842",0.464285714285714,3.37763375620518,5.02610843294381,3.00525522285523e-05,0.000971817739225079,0.000971817739225079,"GRIN1/CALCA/CAV1/JPH4/JPH2/NOS1/EPO/P2RX5/CACNB3/JPH3/ADCYAP1R1/SLC8A3/P2RX2",13
"GO:0051447","GO:0051447","negative regulation of meiotic cell cycle","10/2590","18/18842",0.555555555555556,4.04161304161304,5.15386106774538,3.59901240783549e-05,0.001156976635813,0.001156976635813,"TTK/DUSP1/PKMYT1/FBXO43/ZWINT/DMRT1/HORMAD2/KNL1/TRIP13/HORMAD1",10
