"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","36/1430","140/18842",0.257142857142857,3.38817182817183,8.1279538061735,4.74851940501804e-11,6.35905890321999e-09,6.35905890321999e-09,"ENSG00000185499/ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000159147/ENSG00000156970/ENSG00000164109/ENSG00000144554/ENSG00000111602/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000170312/ENSG00000197299/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000140534/ENSG00000085840/ENSG00000154920/ENSG00000165480/ENSG00000092853/ENSG00000097046/ENSG00000143476/ENSG00000149554/ENSG00000121101/ENSG00000154839/ENSG00000094804/ENSG00000178999/ENSG00000080986/ENSG00000112742",36
"GO:0071168","GO:0071168","protein localization to chromatin","23/1430","62/18842",0.370967741935484,4.88795398150237,8.78748973997867,4.92394203168552e-11,6.41576338777186e-09,6.41576338777186e-09,"ENSG00000278637/ENSG00000276043/ENSG00000166851/ENSG00000158406/ENSG00000124635/ENSG00000270882/ENSG00000197238/ENSG00000197061/ENSG00000138795/ENSG00000276180/ENSG00000270276/ENSG00000273542/ENSG00000115163/ENSG00000091831/ENSG00000278705/ENSG00000277157/ENSG00000160949/ENSG00000276966/ENSG00000277075/ENSG00000178999/ENSG00000197837/ENSG00000274618/ENSG00000278463",23
"GO:0031577","GO:0031577","spindle checkpoint signaling","22/1430","57/18842",0.385964912280702,5.08556005398111,8.85276816285471,5.19554053401825e-11,6.59150024065842e-09,6.59150024065842e-09,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:0051310","GO:0051310","metaphase chromosome alignment","31/1430","109/18842",0.284403669724771,3.74736639507282,8.24369335018925,6.54612297293142e-11,8.09201509038523e-09,8.09201509038523e-09,"ENSG00000089685/ENSG00000167513/ENSG00000121621/ENSG00000129810/ENSG00000161800/ENSG00000117724/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000134222/ENSG00000142945/ENSG00000076382/ENSG00000170312/ENSG00000237649/ENSG00000134057/ENSG00000269466/ENSG00000138778/ENSG00000152253/ENSG00000115163/ENSG00000118193/ENSG00000161888/ENSG00000134690/ENSG00000165480/ENSG00000101447/ENSG00000121101/ENSG00000154839/ENSG00000114346/ENSG00000178999/ENSG00000080986/ENSG00000117650/ENSG00000112742",31
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","22/1430","58/18842",0.379310344827586,4.99787798408488,8.73866632179401,7.77393010061523e-11,8.71584116629443e-09,8.71584116629443e-09,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","22/1430","58/18842",0.379310344827586,4.99787798408488,8.73866632179401,7.77393010061523e-11,8.71584116629443e-09,8.71584116629443e-09,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","22/1430","58/18842",0.379310344827586,4.99787798408488,8.73866632179401,7.77393010061523e-11,8.71584116629443e-09,8.71584116629443e-09,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","22/1430","58/18842",0.379310344827586,4.99787798408488,8.73866632179401,7.77393010061523e-11,8.71584116629443e-09,8.71584116629443e-09,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",22
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","23/1430","64/18842",0.359375,4.73520541958042,8.57779128888081,1.04394866899195e-10,1.14383557572959e-08,1.14383557572959e-08,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000149554/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",23
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","23/1430","65/18842",0.353846153846154,4.66235610543303,8.4761729513884,1.50035501455238e-10,1.60738033892378e-08,1.60738033892378e-08,"ENSG00000166851/ENSG00000071539/ENSG00000089685/ENSG00000156970/ENSG00000164109/ENSG00000117724/ENSG00000169679/ENSG00000143228/ENSG00000122952/ENSG00000137812/ENSG00000177602/ENSG00000170312/ENSG00000134057/ENSG00000152253/ENSG00000161888/ENSG00000134690/ENSG00000117399/ENSG00000165480/ENSG00000121101/ENSG00000154839/ENSG00000178999/ENSG00000080986/ENSG00000112742",23
